,p2,p3,p4,p5,p6,target_Asian,target_AIAN,target_Black,target_White,target_Other,target_NHPI
14951,0.4475345940432869,0.4430815504295576,0.4703638926819737,0.0,0.4703638926819737,0,0,0,0,0,0
14952,0.4430815504295576,0.4386728153401071,0.4656836937513996,0.0,0.4656836937513996,0,0,0,0,0,0
14953,0.4386728153401071,0.4343079478977525,0.4610500635782716,0.0,0.4610500635782716,0,0,0,0,0,0
14954,0.4343079478977525,0.4299865116121122,0.4564625387957112,0.0,0.4564625387957112,0,0,0,0,0,0
14955,0.4299865116121122,0.4257080743359565,0.451920660647417,0.0,0.451920660647417,0,0,0,1,0,0
14956,0.4257080743359565,0.4214722082219922,0.4474239749417894,0.0,0.4474239749417894,0,0,0,1,0,0
14957,0.4214722082219922,0.4172784896800781,0.4429720320065106,0.0,0.4429720320065106,0,0,0,0,0,0
14958,0.4172784896800781,0.4131264993348652,0.4385643866435769,0.0,0.4385643866435769,0,0,0,0,0,0
14959,0.4131264993348652,0.4090158219838591,0.4342005980847792,0.0,0.4342005980847792,0,0,0,0,0,0
14960,0.4090158219838591,0.404946046555899,0.429880229947625,0.0,0.429880229947625,0,0,0,0,0,0
14961,0.404946046555899,0.4009167660700507,0.4256028501917003,0.0,0.4256028501917003,0,0,0,0,0,0
14962,0.4009167660700507,0.3969275775949077,0.4213680310754649,0.0,0.4213680310754649,0,0,0,0,0,0
14963,0.3969275775949077,0.3929780822082985,0.4171753491134783,0.0,0.4171753491134783,0,0,0,0,0,0
14964,0.3929780822082985,0.3890678849573928,0.4130243850340503,0.0,0.4130243850340503,0,0,0,0,0,0
14965,0.3890678849573928,0.3851965948192071,0.4089147237373139,0.0,0.4089147237373139,0,0,0,0,0,0
14966,0.3851965948192071,0.3813638246615017,0.4048459542537146,0.0,0.4048459542537146,0,0,0,0,0,0
14967,0.3813638246615017,0.3775691912040666,0.4008176697029134,0.0,0.4008176697029134,0,0,0,0,0,0
14968,0.3775691912040666,0.373812314980394,0.3968294672530985,0.0,0.3968294672530985,0,0,0,0,1,0
14969,0.373812314980394,0.3700928202997308,0.392880948080701,0.0,0.392880948080701,0,0,0,0,1,0
14970,0.3700928202997308,0.3664103352095092,0.3889717173305135,0.548,0.3889717173305135,0,0,0,0,1,0
14971,0.3664103352095092,0.3627644914581515,0.3851013840762033,0.548,0.3851013840762033,0,0,0,0,0,0
14972,0.3627644914581515,0.3591549244582444,0.3812695612812197,0.548,0.3812695612812197,0,0,0,0,0,0
14973,0.3591549244582444,0.3555812732500798,0.3774758657600898,0.548,0.3774758657600898,0,0,0,0,0,0
14974,0.3555812732500798,0.352043180465559,0.3737199181401001,0.566,0.3737199181401001,0,0,0,0,0,0
14975,0.352043180465559,0.3485402922924551,0.3700013428233588,0.566,0.3700013428233588,0,0,0,0,0,0
14976,0.3485402922924551,0.3450722584390316,0.3663197679492354,0.566,0.3663197679492354,0,0,0,0,1,0
14977,0.3450722584390316,0.3416387320990132,0.3626748253571743,0.566,0.3626748253571743,0,0,0,0,1,0
14978,0.3416387320990132,0.3382393699169045,0.3590661505498789,0.566,0.3590661505498789,0,0,0,0,1,0
14979,0.3382393699169045,0.3348738319536547,0.3554933826568613,0.566,0.3554933826568613,0,0,0,0,0,0
14980,0.3348738319536547,0.3315417816526627,0.351956164398355,0.566,0.351956164398355,0,0,0,0,0,0
14981,0.3315417816526627,0.3282428858061216,0.3484541420495862,0.566,0.3484541420495862,0,0,0,0,0,0
14982,0.3282428858061216,0.3249768145216979,0.3449869654054018,0.566,0.3449869654054018,0,0,0,0,0,0
14983,0.3249768145216979,0.3217432411895413,0.3415542877452481,0.566,0.3415542877452481,0,0,0,0,0,0
14984,0.3217432411895413,0.3185418424496238,0.3381557657984984,0.566,0.3381557657984984,0,0,0,0,0,0
14985,0.3185418424496238,0.3153722981594037,0.3347910597101259,0.566,0.3347910597101259,0,0,0,0,0,0
14986,0.3153722981594037,0.3122342913618107,0.331459833006718,0.566,0.331459833006718,0,0,0,0,0,0
14987,0.3122342913618107,0.30912750825355,0.3281617525628282,0.566,0.3281617525628282,0,0,0,1,0,0
14988,0.30912750825355,0.3060516381537218,0.3248964885676637,0.566,0.3248964885676637,0,0,0,1,0,0
14989,0.3060516381537218,0.3030063734727528,0.3216637144921038,0.566,0.3216637144921038,0,0,0,1,0,0
14990,0.3030063734727528,0.2999914096816372,0.3184631070560472,0.566,0.3184631070560472,0,0,0,0,0,0
14991,0.2999914096816372,0.2970064452814834,0.3152943461960831,0.566,0.3152943461960831,0,0,0,0,0,0
14992,0.2970064452814834,0.2940511817733641,0.3121571150334847,0.566,0.3121571150334847,0,0,0,0,0,0
14993,0.2940511817733641,0.2911253236284655,0.3090510998425215,0.566,0.3090510998425215,0,0,0,0,0,0
14994,0.2911253236284655,0.288228578258535,0.3059759900190859,0.566,0.3059759900190859,0,0,0,0,0,0
14995,0.288228578258535,0.2853606559866217,0.3029314780496331,0.566,0.3029314780496331,0,0,0,0,0,0
14996,0.2853606559866217,0.2825212700181083,0.299917259480429,0.566,0.299917259480429,0,0,0,0,0,0
14997,0.2825212700181083,0.2797101364120319,0.2969330328871048,0.566,0.2969330328871048,0,0,0,0,0,0
14998,0.2797101364120319,0.2769269740526894,0.2939784998445144,0.566,0.2939784998445144,0,0,0,0,0,0
14999,0.2769269740526894,0.2741715046215253,0.2910533648968913,0.566,0.2910533648968913,0,0,0,0,0,0
15000,0.2741715046215253,0.2714434525693004,0.2881573355283032,0.566,0.2881573355283032,0,0,0,0,0,0
15001,0.2714434525693004,0.268742545088536,0.2852901221333998,0.566,0.2852901221333998,0,0,0,0,1,0
15002,0.268742545088536,0.2660685120862334,0.2824514379884523,0.566,0.2824514379884523,0,0,0,0,1,0
15003,0.2660685120862334,0.2634210861568639,0.2796409992226807,0.566,0.2796409992226807,0,0,0,0,1,0
15004,0.2634210861568639,0.2608000025556283,0.2768585247898663,0.566,0.2768585247898663,0,0,0,0,1,0
15005,0.2608000025556283,0.2582049991719825,0.274103736440247,0.566,0.274103736440247,0,0,0,0,1,0
15006,0.2582049991719825,0.2556358165034253,0.2713763586926923,0.566,0.2713763586926923,0,0,0,0,0,0
15007,0.2556358165034253,0.2530921976295491,0.2686761188071546,0.566,0.2686761188071546,0,0,0,0,0,0
15008,0.2530921976295491,0.2505738881863466,0.2660027467573951,0.566,0.2660027467573951,0,0,0,0,0,0
15009,0.2505738881863466,0.2480806363407751,0.2633559752039811,0.566,0.2633559752039811,0,0,0,0,0,0
15010,0.2480806363407751,0.2456121927655722,0.2607355394675515,0.566,0.2607355394675515,0,0,0,0,0,0
15011,0.2456121927655722,0.2431683106143234,0.258141177502349,0.566,0.258141177502349,0,0,0,0,0,0
15012,0.2431683106143234,0.2407487454967769,0.2555726298700151,0.566,0.2555726298700151,0,0,0,0,0,0
15013,0.2407487454967769,0.2383532554544047,0.2530296397136461,0.566,0.2530296397136461,0,0,0,0,0,0
15014,0.2383532554544047,0.2359816009362064,0.2505119527321073,0.566,0.2505119527321073,0,0,0,0,0,0
15015,0.2359816009362064,0.2336335447747537,0.2480193171546022,0.566,0.2480193171546022,0,0,0,0,0,0
15016,0.2336335447747537,0.2313088521624736,0.2455514837154961,0.566,0.2455514837154961,0,0,0,0,0,0
15017,0.2313088521624736,0.2290072906281679,0.2431082056293885,0.566,0.2431082056293885,0,0,0,1,0,0
15018,0.2290072906281679,0.2267286300137651,0.2406892385664346,0.566,0.2406892385664346,0,0,0,0,0,0
15019,0.2267286300137651,0.2244726424513047,0.2382943406279125,0.566,0.2382943406279125,0,0,0,0,0,0
15020,0.2244726424513047,0.2222391023401507,0.2359232723220323,0.566,0.2359232723220323,0,0,0,0,0,0
15021,0.2222391023401507,0.2200277863244306,0.2335757965399878,0.566,0.2335757965399878,0,0,0,0,1,0
15022,0.2200277863244306,0.2178384732706999,0.2312516785322444,0.542,0.2312516785322444,0,0,0,0,1,0
15023,0.2178384732706999,0.2156709442458291,0.2289506858850646,0.542,0.2289506858850646,0,0,0,0,0,0
15024,0.2156709442458291,0.2135249824951091,0.2266725884972663,0.542,0.2266725884972663,0,0,0,0,0,0
15025,0.2135249824951091,0.2114003734205768,0.2244171585572121,0.542,0.2244171585572121,0,0,0,0,0,0
15026,0.2114003734205768,0.2092969045595541,0.2221841705200285,0.542,0.2221841705200285,0,0,0,0,0,0
15027,0.2092969045595541,0.2072143655634021,0.219973401085051,0.542,0.219973401085051,0,0,0,0,0,0
15028,0.2072143655634021,0.2051525481764856,0.2177846291734938,0.542,0.2177846291734938,0,0,0,0,0,0
15029,0.2051525481764856,0.2031112462153477,0.2156176359063418,0.542,0.2156176359063418,0,0,0,0,0,0
15030,0.2031112462153477,0.2010902555480914,0.2134722045824623,0.542,0.2134722045824623,0,0,0,0,0,0
15031,0.2010902555480914,0.1990893740739656,0.2113481206569352,0.542,0.2113481206569352,0,0,0,1,0,0
15032,0.1990893740739656,0.1971084017031555,0.2092451717195978,0.542,0.2092451717195978,0,0,0,1,0,0
15033,0.1971084017031555,0.1951471403367734,0.2071631474738039,0.542,0.2071631474738039,0,0,0,0,0,0
15034,0.1951471403367734,0.193205393847048,0.2051018397153939,0.542,0.2051018397153939,0,0,0,0,0,0
15035,0.193205393847048,0.1912829680577124,0.2030610423118743,0.542,0.2030610423118743,0,0,0,0,0,0
15036,0.1912829680577124,0.1893796707245856,0.2010405511818039,0.542,0.2010405511818039,0,0,0,0,1,0
15037,0.1893796707245856,0.1874953115163482,0.1990401642743861,0.542,0.1990401642743861,0,0,0,0,0,0
15038,0.1874953115163482,0.185629701995509,0.1970596815492631,0.542,0.1970596815492631,0,0,0,0,0,0
15039,0.185629701995509,0.1837826555995613,0.1950989049565119,0.542,0.1950989049565119,0,0,0,0,0,0
15040,0.1837826555995613,0.1819539876223263,0.1931576384168393,0.542,0.1931576384168393,0,0,0,0,0,0
15041,0.1819539876223263,0.1801435151954823,0.1912356878019737,0.542,0.1912356878019737,0,0,0,1,0,0
15042,0.1801435151954823,0.178351057270278,0.1893328609152518,0.542,0.1893328609152518,0,0,0,0,0,0
15043,0.178351057270278,0.176576434599427,0.1874489674723994,0.542,0.1874489674723994,0,0,0,0,0,0
15044,0.176576434599427,0.1748194697191836,0.1855838190825023,0.542,0.1855838190825023,0,0,0,0,0,0
15045,0.1748194697191836,0.1730799869315955,0.1837372292291671,0.542,0.1837372292291671,0,0,0,0,1,0
15046,0.1730799869315955,0.1713578122869343,0.1819090132518697,0.542,0.1819090132518697,0,0,0,0,1,0
15047,0.1713578122869343,0.1696527735663004,0.1800989883274888,0.542,0.1800989883274888,0,0,0,0,0,0
15048,0.1696527735663004,0.167964700264401,0.1783069734520236,0.542,0.1783069734520236,0,0,0,0,0,0
15049,0.167964700264401,0.166293423572499,0.1765327894224933,0.542,0.1765327894224933,0,0,0,0,0,0
15050,0.166293423572499,0.1646387763615326,0.1747762588190164,0.542,0.1747762588190164,0,0,0,1,0,0
15051,0.1646387763615326,0.1630005931654018,0.1730372059870687,0.542,0.1730372059870687,0,0,0,0,0,0
15052,0.1630005931654018,0.1613787101644219,0.1713154570199179,0.542,0.1713154570199179,0,0,0,0,0,0
15053,0.1613787101644219,0.1597729651689411,0.1696108397412325,0.542,0.1696108397412325,0,0,0,0,0,0
15054,0.1597729651689411,0.1581831976031217,0.167923183687864,0.542,0.167923183687864,0,0,0,0,0,0
15055,0.1581831976031217,0.1566092484888825,0.1662523200928008,0.542,0.1662523200928008,0,0,0,0,0,0
15056,0.1566092484888825,0.1550509604300002,0.1645980818682909,0.542,0.1645980818682909,0,0,0,0,0,0
15057,0.1550509604300002,0.1535081775963706,0.1629603035891333,0.542,0.1629603035891333,0,0,0,0,0,0
15058,0.1535081775963706,0.1519807457084244,0.1613388214761354,0.571,0.1613388214761354,0,0,0,0,0,0
15059,0.1519807457084244,0.1504685120217002,0.1597334733797346,0.571,0.1597334733797346,0,0,0,0,0,0
15060,0.1504685120217002,0.148971325311569,0.1581440987637833,0.571,0.1581440987637833,0,0,0,0,0,0
15061,0.148971325311569,0.1474890358581121,0.1565705386894957,0.571,0.1565705386894957,0,0,0,0,0,0
15062,0.1474890358581121,0.146021495431149,0.155012635799553,0.571,0.155012635799553,0,0,0,0,0,0
15063,0.146021495431149,0.1445685572754139,0.1534702343023677,0.571,0.1534702343023677,0,0,0,0,0,0
15064,0.1445685572754139,0.1431300760958807,0.151943179956505,0.542,0.151943179956505,0,0,0,0,0,0
15065,0.1431300760958807,0.1417059080432324,0.1504313200552577,0.542,0.1504313200552577,0,0,0,0,0,0
15066,0.1417059080432324,0.1402959106994771,0.1489345034113758,0.542,0.1489345034113758,0,0,0,0,0,0
15067,0.1402959106994771,0.1388999430637054,0.1474525803419475,0.542,0.1474525803419475,0,0,0,0,0,0
15068,0.1388999430637054,0.1375178655379905,0.145985402653431,0.542,0.145985402653431,0,0,0,0,0,0
15069,0.1375178655379905,0.1361495399134279,0.1445328236268347,0.571,0.1445328236268347,0,0,0,0,0,0
15070,0.1361495399134279,0.134794829356315,0.1430946980030455,0.571,0.1430946980030455,0,0,0,0,0,0
15071,0.134794829356315,0.1334535983944672,0.1416708819683027,0.571,0.1416708819683027,0,0,0,0,0,0
15072,0.1334535983944672,0.1321257129036705,0.1402612331398161,0.571,0.1402612331398161,0,0,0,0,0,0
15073,0.1321257129036705,0.1308110400942693,0.1388656105515282,0.571,0.1388656105515282,0,0,0,0,0,0
15074,0.1308110400942693,0.1295094484978871,0.1374838746400172,0.571,0.1374838746400172,0,0,0,0,0,0
15075,0.1295094484978871,0.1282208079542795,0.1361158872305405,0.571,0.1361158872305405,0,0,0,0,0,0
